period,recruiter,hrbp,benefits,hrops
2026-01-05,72.0,36.0,40.800000000000004,52.8
2026-01-12,72.0,36.0,40.800000000000004,52.8
2026-01-19,72.0,36.0,40.800000000000004,52.8
2026-01-26,72.0,36.0,40.800000000000004,52.8
2026-02-02,72.0,36.0,40.800000000000004,52.8
2026-02-09,72.0,36.0,40.800000000000004,52.8
2026-02-16,72.0,36.0,40.800000000000004,52.8
2026-02-23,72.0,36.0,40.800000000000004,52.8
2026-03-02,72.0,36.0,40.800000000000004,52.8
2026-03-09,72.0,36.0,40.800000000000004,52.8
2026-03-16,72.0,36.0,40.800000000000004,52.8
2026-03-23,72.0,36.0,40.800000000000004,52.8
2026-03-30,72.0,36.0,40.800000000000004,52.8
